1,6897,0,0,0,0,0,0,0,300,0,10999750,0,200,0,0
24,800,0,0,0,0,0,0,0,400,0,25,0,5,0,0
3,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
4,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
5,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
6,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
7,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
8,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
9,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
10,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
11,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
12,800,0,0,999,0,0,0,0,400,0,9999999,0,200,0,0
2,800,0,0,999,0,0,0,0,400,0,8999998,0,200,0,0
14,800,0,0,999,0,0,0,0,400,0,250,0,200,0,0
50,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
51,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
